Year,County_of_Residence,County_of_Residence_FIPS,Maternal_Morbidity_Desc,Maternal_Morbidity_YN,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_LMP_Gestational_Age_Wks,Ave_Birth_Weight_gms,Ave_Pre_pregnancy_BMI,Ave_Number_of_Prenatal_Wks
2018-01-01,"Ada County, ID",16001,None checked,1,4792,29.6,38.59,38.82,3310.43,26.0,12.13
2018-01-01,"Plymouth County, MA",25023,None checked,1,4964,31.18,38.67,38.82,3340.74,26.56,12.34
2018-01-01,"Cumberland County, NC",37051,None checked,1,5377,27.22,38.32,38.82,3217.44,27.47,11.45
2018-01-01,"Orange County, NC",37135,None checked,1,1096,31.21,38.67,38.82,3281.04,25.52,11.72
2018-01-01,"Jackson County, OR",41029,None checked,1,2175,28.71,38.67,38.82,3336.45,26.84,11.64
2018-01-01,"Unidentified Counties, PA",42999,None checked,1,15345,27.85,38.6,38.82,3309.36,27.76,11.09
2018-01-01,"Unidentified Counties, MA",25999,None checked,1,782,30.49,39.03,39.07,3404.58,26.33,13.42
2018-01-01,"Unidentified Counties, RI",44999,None checked,1,993,30.94,38.79,39.07,3345.82,26.13,12.51
2018-01-01,"Nueces County, TX",48355,None checked,1,4561,27.57,38.14,38.15,3211.93,28.38,8.92
2018-01-01,"Broward County, FL",12011,None checked,1,21816,30.34,38.31,38.4,3198.94,26.43,10.38
2018-01-01,"Macon County, IL",17115,None checked,1,1256,27.05,38.28,38.4,3250.34,28.96,11.34
2018-01-01,"Shawnee County, KS",20177,None checked,1,2109,27.65,38.26,38.4,3280.98,28.26,11.24
2018-01-01,"Baltimore city, MD",24510,None checked,1,7547,28.45,38.25,38.4,3138.84,27.89,10.3
2018-01-01,"Wayne County, MI",26163,None checked,1,22609,28.22,38.29,38.4,3174.91,28.21,11.56
2018-01-01,"Kaufman County, TX",48257,None checked,1,1768,28.42,38.24,38.4,3259.75,27.45,10.4
